,awareness,research,consideration,decision,action,post_purchase,support
awareness,4,1,0,0,0,0,0
research,0,4,0,0,0,0,0
consideration,0,0,5,0,0,0,0
decision,0,0,0,5,0,0,0
action,0,0,0,0,0,0,0
post_purchase,0,0,0,2,0,2,0
support,1,0,0,0,0,0,3
