,awareness,research,consideration,decision,action,post_purchase,support
awareness,6,0,0,0,0,0,0
research,2,5,0,0,0,0,0
consideration,0,1,6,0,0,0,0
decision,0,0,0,7,0,0,0
action,0,0,0,0,0,0,0
post_purchase,0,0,0,0,0,6,0
support,0,0,0,0,0,0,6
