,awareness,research,consideration,decision,action,post_purchase,support
awareness,14,0,0,0,0,0,0
research,0,9,4,0,0,0,0
consideration,0,0,15,0,0,0,0
decision,0,0,1,13,0,0,0
action,0,1,0,1,6,0,0
post_purchase,0,2,0,1,0,11,0
support,0,0,0,0,0,0,14
