,informational,exploratory,commercial,transactional,support,personal_reflection,creative_generation,chit_chat,ambiguous,prohibited
informational,0,0,0,0,0,0,0,0,0,0
exploratory,0,1,0,0,0,0,0,0,0,0
commercial,1,0,11,0,0,0,0,0,0,0
transactional,0,0,0,0,0,0,0,0,0,0
support,0,0,0,0,0,0,0,0,0,0
personal_reflection,0,0,0,0,0,0,0,0,0,0
creative_generation,0,0,0,0,0,0,1,0,0,0
chit_chat,0,0,0,0,0,0,0,1,0,0
ambiguous,1,0,1,0,0,0,0,0,8,0
prohibited,0,0,0,0,0,0,0,0,0,1
